transaction_id,project_id,supplier_id,material_id,worker_id,equipment_id,po_number,po_date,expected_delivery_date,actual_delivery_date,delivery_delay_days,quantity,material_cost,labor_days,labor_cost,equipment_usage_days,fuel_cost,equipment_cost,transportation_cost,rework_cost,total_transaction_cost,po_status,transaction_status,quality_issue_flag,downtime_hours,utilization_flag
1,10015,30040,20007,40126,5050,PO700001,11/04/2025,12/03/2025,12/07/2025,4,106,1451352,11,73579,2,36119,8372,4084,11982,1585488,Partial,Completed,Yes,1,Optimal
2,10004,30046,20042,40322,5042,PO700002,03/08/2025,04/01/2025,04/02/2026,13,22,216326,4,33880,3,28821,36084,2936,18528,336575,Open,Completed,Yes,18,Underutilized
3,10032,30082,20026,40415,5031,PO700003,02/08/2024,02/11/2024,03/02/2023,7,16,50160,9,51489,5,28468,38720,5726,17717,192280,Open,Pending,Yes,3,Optimal
4,10035,30095,20186,40206,5048,PO700004,01/05/2025,01/08/2025,01/11/2025,3,145,1088950,12,102816,3,4906,36738,21283,6748,1261441,Closed,Pending,No,14,Underutilized
5,10041,30047,20100,40444,5043,PO700005,01/06/2024,01/01/2025,01/10/2025,9,68,725696,13,94497,6,16997,86712,3682,18822,946406,Closed,Pending,No,23,Underutilized
6,10002,30010,20063,40033,5016,PO700006,10/10/2024,11/04/2023,11/11/2024,19,23,120957,2,5010,17,11810,167450,25809,11208,342244,Open,Pending,No,1,Optimal
7,10016,30083,20087,40144,5018,PO700007,02/09/2026,03/06/2026,04/04/2025,17,151,3702973,13,95446,11,46566,94292,12474,19476,3971227,Closed,Pending,Yes,2,Underutilized
8,10002,30046,20106,40468,5012,PO700008,04/06/2026,05/12/2025,06/03/2025,22,175,1558025,2,5392,2,46972,29958,11145,21205,1672697,Partial,Pending,No,22,Underutilized
9,10031,30083,20027,40288,5021,PO700009,06/03/2027,07/10/2026,08/12/2025,21,93,1094238,1,2322,15,12013,132345,21018,3836,1265772,Closed,Completed,Yes,24,Underutilized
10,10005,30098,20042,40018,5048,PO700010,05/01/2024,05/10/2024,06/02/2024,23,68,668644,7,30254,13,6280,144742,6451,14718,871089,Closed,Pending,Yes,13,Underutilized
11,10032,30063,20118,40191,5008,PO700011,12/12/2025,01/10/2026,02/04/2025,13,96,529344,11,98923,13,10890,88140,3719,5774,736790,Open,Completed,Yes,0,Underutilized
12,10019,30091,20058,40483,5008,PO700012,05/01/2025,05/08/2026,06/07/2025,18,51,726648,5,31005,10,10547,30670,14728,17517,831115,Closed,Pending,Yes,22,Optimal
13,10043,30065,20086,40107,5012,PO700013,04/12/2024,04/03/2026,05/09/2025,24,179,3580179,13,57655,18,27087,169704,14073,12914,3861612,Open,Pending,No,1,Optimal
14,10044,30075,20146,40280,5005,PO700014,03/10/2023,03/07/2024,03/01/2025,6,117,2402127,3,8790,4,40369,34284,2722,3354,2491646,Open,Completed,Yes,11,Optimal
15,10039,30018,20051,40476,5026,PO700015,03/02/2024,03/08/2024,03/02/2025,6,162,1069200,7,33159,5,17531,66970,12383,19735,1218978,Closed,Pending,Yes,3,Underutilized
16,10022,30074,20178,40041,5047,PO700016,04/10/2025,05/04/2025,05/07/2026,15,128,198144,5,29435,3,7696,16083,25565,11227,288150,Partial,Pending,No,22,Optimal
17,10037,30010,20156,40160,5029,PO700017,06/12/2024,06/01/2026,06/01/2026,0,57,1134756,9,36018,12,46224,64812,18798,886,1301494,Partial,Pending,Yes,22,Underutilized
18,10012,30079,20194,40218,5049,PO700018,06/02/2025,07/12/2024,07/11/2025,11,47,639670,6,34914,8,36492,93800,26528,16472,847876,Closed,Completed,Yes,7,Underutilized
19,10046,30067,20143,40322,5018,PO700019,01/03/2027,02/08/2026,03/05/2026,25,63,784980,4,33880,17,24302,188241,24953,949,1057305,Open,Pending,No,8,Optimal
20,10022,30038,20191,40372,5017,PO700020,12/10/2024,12/09/2025,01/09/2025,19,93,2273292,8,49304,12,6278,107688,8224,3347,2448133,Open,Pending,Yes,10,Optimal
21,10050,30080,20182,40353,5013,PO700021,05/09/2024,05/04/2025,06/04/2024,19,161,3087658,14,57568,1,43793,10855,12272,21074,3233220,Open,Completed,No,22,Optimal
22,10018,30040,20057,40026,5006,PO700022,05/04/2024,06/02/2024,06/07/2024,5,116,1875372,13,88322,11,48305,48631,13970,15176,2089776,Closed,Completed,Yes,5,Optimal
23,10008,30080,20152,40258,5047,PO700023,01/05/2025,02/05/2023,02/09/2023,4,156,1006980,15,88695,15,10579,206175,21040,19525,1352994,Closed,Pending,Yes,17,Optimal
24,10024,30044,20184,40185,5041,PO700024,01/10/2024,02/04/2024,02/04/2024,0,190,2335670,11,60511,4,10125,46508,15215,6383,2474412,Open,Completed,No,6,Underutilized
25,10025,30041,20178,40250,5024,PO700025,05/04/2026,06/05/2025,06/12/2025,7,200,309600,10,75980,11,36674,79739,14730,4295,521018,Open,Pending,No,21,Underutilized
