"worker_id","worker_name","trade","daily_rate","skill_level","employment_type"
40001,Worker_1,Mason,7862,Junior,Permanent
40002,Worker_2,Plumber,5993,Expert,Permanent
40003,Worker_3,Mason,9140,Intermediate,Contract
40004,Worker_4,Mason,8599,Senior,Permanent
40005,Worker_5,Carpenter,8844,Expert,Contract
40006,Worker_6,Operator,3516,Junior,Permanent
40007,Worker_7,Plumber,6354,Junior,Permanent
40008,Worker_8,Mason,2092,Senior,Permanent
40009,Worker_9,Plumber,9335,Intermediate,Permanent
40010,Worker_10,Mason,9416,Expert,Permanent
40011,Worker_11,Welder,5771,Senior,Contract
40012,Worker_12,Carpenter,5596,Senior,Permanent
40013,Worker_13,Welder,8288,Junior,Permanent
40014,Worker_14,Plumber,3566,Intermediate,Permanent
40015,Worker_15,Carpenter,3370,Expert,Contract
40016,Worker_16,Plumber,4482,Expert,Permanent
40017,Worker_17,Carpenter,4696,Expert,Contract
40018,Worker_18,Operator,4322,Expert,Contract
40019,Worker_19,Operator,4146,Expert,Contract
40020,Worker_20,Welder,9120,Intermediate,Permanent
40021,Worker_21,Carpenter,6311,Expert,Contract
40022,Worker_22,Plumber,7783,Intermediate,Permanent
40023,Worker_23,Welder,4051,Expert,Permanent
40024,Worker_24,Operator,8063,Intermediate,Contract
40025,Worker_25,Carpenter,2725,Senior,Permanent
40026,Worker_26,Mason,6794,Intermediate,Permanent
40027,Worker_27,Carpenter,3969,Senior,Permanent
40028,Worker_28,Mason,6978,Intermediate,Contract
40029,Worker_29,Mason,3681,Junior,Contract
40030,Worker_30,Mason,4737,Senior,Contract
40031,Worker_31,Mason,9956,Senior,Contract
40032,Worker_32,Plumber,7501,Intermediate,Contract
40033,Worker_33,Operator,2505,Junior,Permanent
40034,Worker_34,Painter,6137,Senior,Contract
40035,Worker_35,Plumber,6909,Expert,Permanent
40036,Worker_36,Plumber,5461,Intermediate,Contract
40037,Worker_37,Operator,6403,Junior,Permanent
40038,Worker_38,Carpenter,4963,Junior,Contract
40039,Worker_39,Operator,5296,Junior,Permanent
40040,Worker_40,Plumber,7410,Junior,Contract
40041,Worker_41,Operator,5887,Intermediate,Permanent
40042,Worker_42,Operator,3018,Expert,Permanent
40043,Worker_43,Carpenter,8503,Intermediate,Contract
40044,Worker_44,Plumber,7938,Senior,Contract
40045,Worker_45,Welder,5565,Expert,Contract
40046,Worker_46,Operator,6451,Intermediate,Contract
40047,Worker_47,Painter,8684,Intermediate,Permanent
40048,Worker_48,Mason,8222,Senior,Contract
40049,Worker_49,Operator,5850,Junior,Permanent
40050,Worker_50,Mason,4372,Intermediate,Contract
40051,Worker_51,Electrician,2711,Intermediate,Contract
40052,Worker_52,Electrician,9977,Senior,Contract
40053,Worker_53,Carpenter,6152,Senior,Contract
40054,Worker_54,Carpenter,6989,Senior,Permanent
40055,Worker_55,Painter,6480,Senior,Contract
40056,Worker_56,Carpenter,3433,Senior,Permanent
40057,Worker_57,Welder,6162,Expert,Contract
40058,Worker_58,Welder,7329,Expert,Contract
40059,Worker_59,Welder,2988,Intermediate,Contract
40060,Worker_60,Carpenter,6700,Intermediate,Permanent
40061,Worker_61,Electrician,9505,Expert,Permanent
40062,Worker_62,Painter,9322,Intermediate,Contract
40063,Worker_63,Operator,6889,Expert,Contract
40064,Worker_64,Plumber,4458,Intermediate,Permanent
40065,Worker_65,Operator,4770,Senior,Permanent
40066,Worker_66,Painter,6199,Junior,Contract
40067,Worker_67,Painter,6034,Intermediate,Contract
40068,Worker_68,Mason,6971,Junior,Contract
40069,Worker_69,Operator,9040,Senior,Permanent
40070,Worker_70,Painter,3846,Expert,Contract
40071,Worker_71,Mason,7994,Expert,Contract
40072,Worker_72,Plumber,6914,Junior,Permanent
40073,Worker_73,Mason,4620,Intermediate,Permanent
40074,Worker_74,Carpenter,3808,Intermediate,Contract
40075,Worker_75,Mason,8143,Expert,Contract
40076,Worker_76,Carpenter,8891,Intermediate,Contract
40077,Worker_77,Mason,7942,Junior,Contract
40078,Worker_78,Mason,8272,Expert,Contract
40079,Worker_79,Carpenter,2856,Senior,Permanent
40080,Worker_80,Painter,9762,Junior,Permanent
40081,Worker_81,Electrician,2144,Intermediate,Permanent
40082,Worker_82,Electrician,9020,Intermediate,Contract
40083,Worker_83,Welder,3920,Junior,Contract
